,city,temperature,cloudiness,country,date,humidity,longitude,latitude,temp_max,wind_speed
204,Nouadhibou,69.8,83.0,MR,11/09/2019,64.0,-17.03,20.93,69.8,23.04
205,Bougouni,80.58,12.0,ML,11/09/2019,63.0,-7.49,11.42,80.58,5.55
206,Kitgum,69.1,65.0,UG,11/09/2019,74.0,32.88,3.3,69.1,1.77
207,Ponta do Sol,69.53,90.0,BR,11/09/2019,89.0,-46.0,-20.63,69.53,5.32
208,Vallenar,54.36,0.0,CL,11/09/2019,89.0,-70.76,-28.58,54.36,3.31
209,Ugoofaaru,81.75,3.0,MV,11/09/2019,71.0,73.0,5.67,81.75,4.72
210,Clyde River,17.6,90.0,CA,11/09/2019,85.0,-68.59,70.47,17.6,28.86
211,Esperance,78.8,94.0,AU,11/09/2019,19.0,121.89,-33.86,78.8,20.8
212,Kuruman,65.7,39.0,ZA,11/09/2019,48.0,23.43,-27.46,65.7,8.97
213,Cidreira,71.02,100.0,BR,11/09/2019,87.0,-50.22,-30.17,71.02,22.44
214,Fairbanks,8.62,1.0,US,11/09/2019,78.0,-147.72,64.84,10.0,2.95
215,San Quintin,76.93,77.0,PH,11/09/2019,83.0,120.52,17.54,76.93,3.76
216,Bluff,78.51,11.0,AU,11/09/2019,12.0,149.07,-23.58,78.51,6.76
217,San Cristobal,67.24,42.0,HN,11/09/2019,92.0,-86.92,14.68,67.24,6.35
218,Kavieng,77.31,100.0,PG,11/09/2019,92.0,150.8,-2.57,77.31,8.48
219,Tasiilaq,35.6,87.0,GL,11/09/2019,74.0,-37.64,65.61,35.6,36.91
220,Zhigalovo,12.47,100.0,RU,11/09/2019,83.0,105.15,54.81,12.47,7.29
221,Pestravka,29.71,88.0,RU,11/09/2019,90.0,49.95,52.4,29.71,4.59
222,Skelleftea,14.52,100.0,SE,11/09/2019,85.0,20.95,64.75,15.01,11.41
223,Aqtobe,26.6,90.0,KZ,11/09/2019,86.0,57.21,50.28,26.6,11.18
